,trade_day
1363,20100812
1364,20100813
1365,20100816
1366,20100817
1367,20100818
1368,20100819
1369,20100820
1370,20100823
1371,20100824
1372,20100825
1373,20100826
1374,20100827
1375,20100830
1376,20100831
1377,20100901
1378,20100902
1379,20100903
1380,20100906
1381,20100907
1382,20100908
1383,20100909
1384,20100910
1385,20100913
1386,20100914
1387,20100915
1388,20100916
1389,20100917
1390,20100920
1391,20100921
1392,20100927
1393,20100928
1394,20100929
1395,20100930
1396,20101008
1397,20101011
1398,20101012
1399,20101013
1400,20101014
1401,20101015
1402,20101018
1403,20101019
1404,20101020
1405,20101021
1406,20101022
1407,20101025
1408,20101026
1409,20101027
1410,20101028
1411,20101029
1412,20101101
1413,20101102
1414,20101103
1415,20101104
1416,20101105
1417,20101108
1418,20101109
1419,20101110
1420,20101111
1421,20101112
1422,20101115
1423,20101116
1424,20101117
1425,20101118
1426,20101119
1427,20101122
1428,20101123
1429,20101124
1430,20101125
1431,20101126
1432,20101129
1433,20101130
1434,20101201
1435,20101202
1436,20101203
1437,20101206
1438,20101207
1439,20101208
1440,20101209
1441,20101210
1442,20101213
1443,20101214
1444,20101215
1445,20101216
1446,20101217
1447,20101220
1448,20101221
1449,20101222
1450,20101223
1451,20101224
1452,20101227
1453,20101228
1454,20101229
1455,20101230
1456,20101231
1457,20110104
1458,20110105
1459,20110106
1460,20110107
1461,20110110
1462,20110111
1463,20110112
1464,20110113
1465,20110114
1466,20110117
1467,20110118
1468,20110119
1469,20110120
1470,20110121
1471,20110124
1472,20110125
1473,20110126
1474,20110127
1475,20110128
1476,20110131
1477,20110201
1478,20110209
1479,20110210
1480,20110211
1481,20110214
1482,20110215
1483,20110216
1484,20110217
1485,20110218
1486,20110221
1487,20110222
1488,20110223
1489,20110224
1490,20110225
1491,20110228
1492,20110301
1493,20110302
1494,20110303
1495,20110304
1496,20110307
1497,20110308
1498,20110309
1499,20110310
1500,20110311
1501,20110314
1502,20110315
1503,20110316
1504,20110317
1505,20110318
1506,20110321
1507,20110322
1508,20110323
1509,20110324
1510,20110325
1511,20110328
1512,20110329
1513,20110330
1514,20110331
1515,20110401
1516,20110406
1517,20110407
1518,20110408
1519,20110411
1520,20110412
1521,20110413
1522,20110414
1523,20110415
1524,20110418
1525,20110419
1526,20110420
1527,20110421
1528,20110422
1529,20110425
1530,20110426
1531,20110427
1532,20110428
1533,20110429
1534,20110503
1535,20110504
1536,20110505
1537,20110506
1538,20110509
1539,20110510
1540,20110511
1541,20110512
1542,20110513
1543,20110516
1544,20110517
1545,20110518
1546,20110519
1547,20110520
1548,20110523
1549,20110524
1550,20110525
1551,20110526
1552,20110527
1553,20110530
1554,20110531
1555,20110601
1556,20110602
1557,20110603
1558,20110607
1559,20110608
1560,20110609
1561,20110610
1562,20110613
1563,20110614
1564,20110615
1565,20110616
1566,20110617
1567,20110620
1568,20110621
1569,20110622
1570,20110623
1571,20110624
1572,20110627
1573,20110628
1574,20110629
1575,20110630
1576,20110701
1577,20110704
1578,20110705
1579,20110706
1580,20110707
1581,20110708
1582,20110711
1583,20110712
1584,20110713
1585,20110714
1586,20110715
1587,20110718
1588,20110719
1589,20110720
1590,20110721
1591,20110722
1592,20110725
1593,20110726
1594,20110727
1595,20110728
1596,20110729
1597,20110801
1598,20110802
1599,20110803
1600,20110804
